,number,classification,timestamp,latitude,longitude,report,key_words,month,year
2008,2310,Class B,1963-01-28 12:00:00+00:00,38.1625,-120.0522, Large prints found below Cold Springs,Large prints found Cold Springs,1,1963
173,6963,Class A,1965-07-01 12:00:00+00:00,40.26639,-123.8692, Teens have unusual experience near Myers Flat,Teens unusual experience near Myers Flat,7,1965
2977,5770,Class B,1972-08-25 12:00:00+00:00,39.679,-119.6665, Four feral dogs chase sasquatch,Four feral dogs chase sasquatch,8,1972
1654,1682,Class A,1977-07-29 12:00:00+00:00,46.803,-122.4133, Young boy awakened by a loud roaring scream (Part 3),Young boy awakened loud roaring scream (Part 3),7,1977
2581,39852,Class B,1977-09-26 12:00:00+00:00,38.74784,-90.14547, Memory told of a possible sighting while parked in a car near Granite City,Memory told possible sighting parked car near Granite City,9,1977
2013,2887,Class B,1977-12-30 12:00:00+00:00,38.19753,-119.9811," Loud, High-pitched Animal Screams Heard Outside a Cabin Late at Night","Loud, High-pitched Animal Screams Heard Outside Cabin Late Night",12,1977
152,1301,Class A,1978-07-30 12:00:00+00:00,38.19753,-119.9811, Three witnesses have daytime sighting near Strawberry,Three witnesses daytime sighting near Strawberry,7,1978
3480,1681,Class B,1981-09-16 12:00:00+00:00,46.803,-122.4133, Young boy awakened by a loud roaring scream (Part 2),Young boy awakened loud roaring scream (Part 2),9,1981
573,1796,Class A,1983-09-04 12:00:00+00:00,42.5149,-111.1241, Elk hunter observes an apparent family group,Elk hunter observes apparent family group,9,1983
583,8251,Class A,1985-10-25 12:00:00+00:00,45.08334,-115.75, Young deerhunters see moving biped shape and later hear vocalizations.,Young deerhunters see moving biped shape later hear vocalizations.,10,1985
169,6521,Class A,1987-06-01 12:00:00+00:00,39.68833,-123.4817, Woman hears late night scream and has close encounter near Laytonville,Woman hears late night scream close encounter near Laytonville,6,1987
991,14144,Class A,1987-10-10 12:00:00+00:00,32.036,-88.77015, Night time sighting by motorists on Highway 512 near Elwood (passenger's observation),Night time sighting motorists Highway 512 near Elwood (passenger's observation),10,1987
201,13424,Class A,1993-12-15 12:00:00+00:00,41.75,-123.35, Trail bike rider describes being briefly chased at night near Happy Camp,Trail bike rider describes briefly chased night near Happy Camp,12,1993
147,919,Class A,1996-04-10 12:00:00+00:00,38.93333,-119.9833, Car passenger has nighttime sighting near Lake Tahoe,Car passenger nighttime sighting near Lake Tahoe,4,1996
1637,1594,Class A,1997-11-28 12:00:00+00:00,47.01278,-121.4642, Footprints found with huge Toes on each print,Footprints found huge Toes print,11,1997
1667,1776,Class A,2000-04-15 12:00:00+00:00,46.55861,-122.2739, Mom and son see 2 reddish brown animals in Morton,Mom son see 2 reddish brown animals Morton,4,2000
138,147,Class A,2000-06-15 12:00:00+00:00,38.93333,-119.9833, Sound reports from resident in South Lake Tahoe,Sound reports resident South Lake Tahoe,6,2000
139,353,Class A,2000-09-23 12:00:00+00:00,38.9575,-120.0914, Night sighting by two motorists near Lake Tahoe,Night sighting two motorists near Lake Tahoe,9,2000
813,1536,Class A,2000-11-18 12:00:00+00:00,31.6825,-92.3104, Two teenage deer hunters have encounter while hunting,Two teenage deer hunters encounter hunting,11,2000
1678,2196,Class A,2001-03-08 12:00:00+00:00,46.0675,-118.0519, BFRO investigator finds tracks in snow 2001,BFRO investigator finds tracks snow 2001,3,2001
2025,3794,Class B,2001-08-01 12:00:00+00:00,38.9575,-120.0914," Campers hear more nighttime vocalizations at Sugar Pine Campground, on the west side of Lake Tahoe","Campers hear nighttime vocalizations Sugar Pine Campground, west side Lake Tahoe",8,2001
184,9296,Class A,2001-10-25 12:00:00+00:00,37.23389,-119.2119, Hunter has daytime sighting near Huntington Lake,Hunter daytime sighting near Huntington Lake,10,2001
1889,4692,Class A,2002-07-19 12:00:00+00:00,46.79165,-110.4165," Noon sighting by family of four near Mount Washburn, Yellowstone National Park","Noon sighting family four near Mount Washburn, Yellowstone National Park",7,2002
2048,5791,Class B,2002-08-01 12:00:00+00:00,38.77778,-119.8208, Campers hear late night scream near Woodfords,Campers hear late night scream near Woodfords,8,2002
1703,4940,Class A,2002-09-14 12:00:00+00:00,46.5347,-122.4275, Morning sighting by three fishermen near the east end of Riffe Lake,Morning sighting three fishermen near east end Riffe Lake,9,2002
617,12439,Class A,2005-06-10 12:00:00+00:00,41.3368,-88.562, Three men have daylight sighting near Seneca,Three men daylight sighting near Seneca,6,2005
906,13049,Class A,2005-10-08 12:00:00+00:00,43.80075,-92.36145, Daylight sighting by squirrel hunter near Spring Valley,Daylight sighting squirrel hunter near Spring Valley,10,2005
2972,12915,Class B,2005-10-11 12:00:00+00:00,36.39135,-109.0612, Zoologist hears wood knocking.,Zoologist hears wood knocking.,10,2005
3582,16631,Class B,2006-08-19 12:00:00+00:00,48.45809,-120.1611, Hunters find possible footprints and possible tree breaks near Winthrop,Hunters find possible footprints possible tree breaks near Winthrop,8,2006
1746,15135,Class A,2006-09-28 12:00:00+00:00,48.32956,-119.187, Dusk sighting by a couple near a spring outside Omak,Dusk sighting couple near spring outside Omak,9,2006
2493,24056,Class B,2008-05-28 12:00:00+00:00,40.8348,-93.85965, Hunter describes combination of rock clacking and bird-like vocals in public hunting area near Van Wert,Hunter describes combination rock clacking bird-like vocals public hunting area near Van Wert,5,2008
647,28703,Class A,2008-09-28 12:00:00+00:00,39.5075,-89.3469, Motorist has daylight sighting southwest of Taylorville,Motorist daylight sighting southwest Taylorville,9,2008
448,26823,Class A,2009-10-18 12:00:00+00:00,28.44926,-81.95577, Daylight sighting by hunter and son in Richloam Wildlife Management Area,Daylight sighting hunter son Richloam Wildlife Management Area,10,2009
41,27459,Class A,2010-03-12 12:00:00+00:00,33.8957,-87.53395, Motorist sights dirty-white upright creature near the town of Kansas,Motorist sights dirty-white upright creature near town Kansas,3,2010
2547,27692,Class B,2010-05-05 12:00:00+00:00,40.82944,-89.73378, Mushroom hunter hears vocalizations and finds footprints near Jubilee College State Park,Mushroom hunter hears vocalizations finds footprints near Jubilee College State Park,5,2010
1588,29305,Class A,2011-05-03 12:00:00+00:00,37.047,-77.90815, Sasquatch charges witness after son fires shotgun near Blackstone (includes audio from follow-up investigation),Sasquatch charges witness son fires shotgun near Blackstone (includes audio follow-up investigation),5,2011
1547,30504,Class A,2011-08-27 12:00:00+00:00,32.675,-97.61, Gas field trucker has encounter at well head near Aledo,Gas field trucker encounter well head near Aledo,8,2011
2560,30601,Class B,2011-09-07 12:00:00+00:00,41.63243,-87.76622, Possible vocalization and footprint found near Bachelors Grove Cemetery,Possible vocalization footprint found near Bachelors Grove Cemetery,9,2011
669,36246,Class A,2011-10-10 12:00:00+00:00,37.18404,-89.36896, Hiker has daylight sighting near Olive Branch.,Hiker daylight sighting near Olive Branch.,10,2011
3410,31648,Class B,2012-01-16 12:00:00+00:00,37.047,-77.90815, Possible encounters by soldiers training at Fort Pickett,Possible encounters soldiers training Fort Pickett,1,2012
677,39267,Class A,2012-03-06 12:00:00+00:00,37.71917,-89.48784, Motorist reports his second sighting near railroad tracks west of Murphysboro,Motorist reports second sighting near railroad tracks west Murphysboro,3,2012
1233,36830,Class A,2012-06-28 12:00:00+00:00,40.61286,-82.17295," Multiple witnesses watch figure cross road near Nashville, Ohio","Multiple witnesses watch figure cross road near Nashville, Ohio",6,2012
676,38395,Class A,2012-12-20 12:00:00+00:00,41.53346,-87.75156, Motorists have nighttime sighting north of Matteson.,Motorists nighttime sighting north Matteson.,12,2012
